stage,dataset,split,class,count_type,count,source_file,source_field,verification_status,notes
ROI balanced feature cache,ROI single-label balanced,all,Pleural effusion,roi_rows,945,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,class_name,verified,
ROI balanced feature cache,ROI single-label balanced,all,Pleural effusion,brightness_augmented_rows,134,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,is_brightness_augmented,verified,
ROI phase2 grouped split,ROI single-label balanced,train,ALL,roi_rows,3770,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/train_roi_manifest.csv,row_count,verified,
ROI phase2 grouped split,ROI single-label balanced,train,ALL,brightness_augmented_rows,357,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/train_roi_manifest.csv,is_brightness_augmented,verified,
ROI phase2 grouped split,ROI single-label balanced,train,Aortic enlargement,roi_rows,744,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/train_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,train,Cardiomegaly,roi_rows,759,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/train_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,train,Pleural thickening,roi_rows,763,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/train_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,train,Pulmonary fibrosis,roi_rows,756,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/train_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,train,Pleural effusion,roi_rows,748,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/train_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,val,ALL,roi_rows,454,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/val_roi_manifest.csv,row_count,verified,
ROI phase2 grouped split,ROI single-label balanced,val,ALL,brightness_augmented_rows,0,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/val_roi_manifest.csv,is_brightness_augmented,verified,
ROI phase2 grouped split,ROI single-label balanced,val,Aortic enlargement,roi_rows,77,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/val_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,val,Cardiomegaly,roi_rows,78,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/val_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,val,Pleural thickening,roi_rows,112,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/val_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,val,Pulmonary fibrosis,roi_rows,106,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/val_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,val,Pleural effusion,roi_rows,81,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/val_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,test,ALL,roi_rows,454,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/test_roi_manifest.csv,row_count,verified,
ROI phase2 grouped split,ROI single-label balanced,test,ALL,brightness_augmented_rows,0,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/test_roi_manifest.csv,is_brightness_augmented,verified,
ROI phase2 grouped split,ROI single-label balanced,test,Aortic enlargement,roi_rows,77,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/test_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,test,Cardiomegaly,roi_rows,78,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/test_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,test,Pleural thickening,roi_rows,112,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/test_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,test,Pulmonary fibrosis,roi_rows,106,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/test_roi_manifest.csv,class_name,verified,
ROI phase2 grouped split,ROI single-label balanced,test,Pleural effusion,roi_rows,81,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/test_roi_manifest.csv,class_name,verified,
Full-image phase0 split,Full-image multilabel,train,ALL,image_rows,472,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,row_count,verified,
Full-image phase0 split,Full-image multilabel,train,Aortic enlargement,positive_images,280,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,label_0_aortic_enlargement,verified,
Full-image phase0 split,Full-image multilabel,train,Cardiomegaly,positive_images,279,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,label_1_cardiomegaly,verified,
Full-image phase0 split,Full-image multilabel,train,Pleural thickening,positive_images,280,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,label_2_pleural_thickening,verified,
Full-image phase0 split,Full-image multilabel,train,Pulmonary fibrosis,positive_images,278,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,label_3_pulmonary_fibrosis,verified,
Full-image phase0 split,Full-image multilabel,train,Pleural effusion,positive_images,280,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,label_4_pleural_effusion,verified,
Full-image phase0 split,Full-image multilabel,train,label_cardinality_1,image_rows,80,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,train,label_cardinality_2,image_rows,68,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,train,label_cardinality_3,image_rows,157,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,train,label_cardinality_4,image_rows,125,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,train,label_cardinality_5,image_rows,42,outputs/full_image_224_multilabel_seed42/phase0_dataset/train_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,val,ALL,image_rows,59,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,row_count,verified,
Full-image phase0 split,Full-image multilabel,val,Aortic enlargement,positive_images,35,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,label_0_aortic_enlargement,verified,
Full-image phase0 split,Full-image multilabel,val,Cardiomegaly,positive_images,36,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,label_1_cardiomegaly,verified,
Full-image phase0 split,Full-image multilabel,val,Pleural thickening,positive_images,35,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,label_2_pleural_thickening,verified,
Full-image phase0 split,Full-image multilabel,val,Pulmonary fibrosis,positive_images,36,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,label_3_pulmonary_fibrosis,verified,
Full-image phase0 split,Full-image multilabel,val,Pleural effusion,positive_images,35,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,label_4_pleural_effusion,verified,
Full-image phase0 split,Full-image multilabel,val,label_cardinality_1,image_rows,6,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,val,label_cardinality_2,image_rows,14,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,val,label_cardinality_3,image_rows,18,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,val,label_cardinality_4,image_rows,16,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,val,label_cardinality_5,image_rows,5,outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,test,ALL,image_rows,59,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,row_count,verified,
Full-image phase0 split,Full-image multilabel,test,Aortic enlargement,positive_images,35,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,label_0_aortic_enlargement,verified,
Full-image phase0 split,Full-image multilabel,test,Cardiomegaly,positive_images,35,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,label_1_cardiomegaly,verified,
Full-image phase0 split,Full-image multilabel,test,Pleural thickening,positive_images,35,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,label_2_pleural_thickening,verified,
Full-image phase0 split,Full-image multilabel,test,Pulmonary fibrosis,positive_images,36,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,label_3_pulmonary_fibrosis,verified,
Full-image phase0 split,Full-image multilabel,test,Pleural effusion,positive_images,35,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,label_4_pleural_effusion,verified,
Full-image phase0 split,Full-image multilabel,test,label_cardinality_1,image_rows,8,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,test,label_cardinality_2,image_rows,8,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,test,label_cardinality_3,image_rows,23,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,test,label_cardinality_4,image_rows,17,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,num_positive_labels,verified,
Full-image phase0 split,Full-image multilabel,test,label_cardinality_5,image_rows,3,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv,num_positive_labels,verified,
Ground Truth catalog,Full-image multilabel catalog,all,ALL,image_rows,590,outputs/full_image_ground_truth_catalog/full_image_ground_truth_manifest.csv,row_count,verified,
Ground Truth catalog,Full-image multilabel catalog,all,Aortic enlargement,positive_images,350,outputs/full_image_ground_truth_catalog/full_image_ground_truth_manifest.csv,label_0_aortic_enlargement,verified,
Ground Truth catalog,Full-image multilabel catalog,all,Cardiomegaly,positive_images,350,outputs/full_image_ground_truth_catalog/full_image_ground_truth_manifest.csv,label_1_cardiomegaly,verified,
Ground Truth catalog,Full-image multilabel catalog,all,Pleural thickening,positive_images,350,outputs/full_image_ground_truth_catalog/full_image_ground_truth_manifest.csv,label_2_pleural_thickening,verified,
Ground Truth catalog,Full-image multilabel catalog,all,Pulmonary fibrosis,positive_images,350,outputs/full_image_ground_truth_catalog/full_image_ground_truth_manifest.csv,label_3_pulmonary_fibrosis,verified,
Ground Truth catalog,Full-image multilabel catalog,all,Pleural effusion,positive_images,350,outputs/full_image_ground_truth_catalog/full_image_ground_truth_manifest.csv,label_4_pleural_effusion,verified,
Ground Truth catalog,Demo images,demo,ALL,image_rows,30,outputs/full_image_ground_truth_catalog/demo_selection.csv,row_count,verified,
